Store,State,Area,Count,Duration
McDonalds, Johor," Segamat, Johor",1,25.65
McDonalds, Johor," Segamat, Johor",1,23.96
McDonalds, Johor," Segamat, Johor",1,23.3
McDonalds, Johor," Sekijang, Johor",39,136.06
McDonalds, Johor," Labis, Johor",4,32.12
McDonalds, Johor," Pagoh, Johor",11,47.47
McDonalds, Johor," Ledang, Johor",4,35.02
McDonalds, Johor," Bakri, Johor",4,34.35
McDonalds, Johor," Muar, Johor",5,37.77
McDonalds, Johor," Parit Sulong, Johor",18,74.87
McDonalds, Johor," Ayer Hitam, Johor",4,34.02
McDonalds, Johor," Sri Gading, Johor",1,23.56
McDonalds, Johor," Batu Pahat, Johor",5,37.0
McDonalds, Johor," Simpang Renggam, Johor",1,23.84
McDonalds, Johor," Kluang, Johor",2,28.36
McDonalds, Johor," Sembrong, Johor",20,77.14
McDonalds, Johor," Mersing, Johor",19,71.84
McDonalds, Johor," Tenggara, Johor",44,149.92
McDonalds, Johor," Kota Tinggi, Johor",1,22.63
McDonalds, Johor," Pengerang, Johor",17,66.58
McDonalds, Johor," Tebrau, Johor",7,39.19
McDonalds, Johor," Pasir Gudang, Johor",5,35.62
McDonalds, Johor," Johor Bahru, Johor",41,140.48
McDonalds, Johor," Pulai, Johor",9,43.54
McDonalds, Johor," Iskandar Puteri, Johor",7,38.77
McDonalds, Johor," Kulai, Johor",5,34.79
McDonalds, Johor," Pontian, Johor",1,22.51
McDonalds, Johor," Tanjung Piai, Johor",11,47.48
McDonalds, Kedah," Langkawi, Kedah",6,37.4
McDonalds, Kedah," Jerlun, Kedah",12,50.58
McDonalds, Kedah," Kubang Pasu, Kedah",7,37.69
McDonalds, Kedah," Padang Terap, Kedah",12,49.84
McDonalds, Kedah," Pokok Sena, Kedah",8,41.47
McDonalds, Kedah," Alor Setar, Kedah",6,36.22
McDonalds, Kedah," Kuala Kedah, Kedah",7,37.8
McDonalds, Kedah," Pendang, Kedah",1,22.71
McDonalds, Kedah," Jerai, Kedah",9,42.88
McDonalds, Kedah," Sik, Kedah",10,44.61
McDonalds, Kedah," Merbok, Kedah",8,39.94
McDonalds, Kedah," Sungai Petani, Kedah",2,27.65
McDonalds, Kedah," Baling, Kedah",1,22.11
McDonalds, Kedah," Padang Serai, Kedah",13,52.7
McDonalds, Kedah," Kulim-Bandar Baharu, Kedah",6,36.02
McDonalds, Kelantan," Tumpat, Kelantan",2,27.28
McDonalds, Kelantan," Pengkalan Chepa, Kelantan",1,22.52
McDonalds, Kelantan," Kota Bharu, Kelantan",8,41.64
McDonalds, Kelantan," Pasir Mas, Kelantan",2,27.49
