State,Area,Address,Store Name,Rating,Review Count,Store Status
Johor,Segamat,"Address: Shop No. 111, 112,113, Jalan Sia Her Yam, Bandar Seberang, 85000 Segamat District, Johor ",McDonald's Segamat,4.1,"(1,983)",Operating
Johor,Sekijang,"Address: Lot 17143, Jln Besar, Mukim Renggam, 86200 Kluang, Johor Darul Ta'zim ",McDonald's Simpang Renggam DT,4.1,,Operating
Johor,Sekijang,"Address: 265 & 343, GM. 3095 dan GM. 3096, Jalan Kluang-Air Hitam, 86000 Kluang, Johor ",McDonald's Kluang DT,3.9,,Operating
Johor,Sekijang,"Address: 1, Jalan Md. Lazim Saim, Kampung Masjid Lama, 86000 Kluang, Johor ",McDonald's Kluang,4.0,,Operating
Johor,Sekijang,"Address: Sebahagian Lot PTD 8797 Lapangan Terbang Sultan Ismail Mukim, 81400 Senai, Johor ",McDonald's Senai Airport DT,4.0,,Operating
Johor,Sekijang,"Address: Lot 101428, Jln Alor Bukit, Taman Lagenda Putra, 81000 Kulai, Johor Darul Ta'zim ",McDonald's Lagenda Putra Kulai DT,3.2,,Operating
Johor,Sekijang,"Address: Shop No. 111, 112,113, Jalan Sia Her Yam, Bandar Seberang, 85000 Segamat District, Johor ",McDonald's Segamat,4.1,,Operating
Johor,Sekijang,"Address: Lot 1150, Jalan Kasturi 36/41, Bandar Indahpura, 81000 Kulai, Johor Darul Ta'zim ",McDonald's Kulai DT,3.8,,Operating
Johor,Sekijang,"Address: 53, Jalan Perdana 4, Bandar Baru Kangkar Pulai, Johor Bahru, Johor Darul Ta'zim ",McDonald's Kangkar Pulai,3.3,,Operating
Johor,Sekijang,"Address: Lot 132943, Persiaran Jaya Putra, Taman Seri Austin, 81100 Johor Bahru, Johor Darul Ta'zim ",McDonald's Seri Austin DT,3.7,,Operating
Johor,Sekijang,"Address: No 3, Persiaran Jaya, Taman Mutiara Rini, Skudai, Malaysia, Johor, 81300 Johor ",McDonald's Mutiara Rini DT,3.9,,Operating
Johor,Sekijang,"Address: Lot 4456, 1 1, 2 Miles, Jalan Tanjung Labuh, Taman Mewah, 83000 Batu Pahat, Johor ",McDonald's Batu Pahat 2 DT,3.7,,Operating
Johor,Sekijang,"Address: Lot PTD 68950, Batu 7 1/2, Jalan Kota Tinggi, Johor Bahru, Malaysia, Johor, 81100 Johor ",McDonald's Jalan Tebrau DT,3.9,,Operating
Johor,Sekijang,"Address: Lot 20398, HS (D) 59406, MK, 83300 Sri Gading, Johor ",McDonald's Parit Raja,4.1,,Operating
Johor,Sekijang,"Address: Sebahagian Lot PT 22062, Jalan Kolam Air, 80100 Johor Bahru, Johor ",McDonald's Nong Chik DT,4.1,,Operating
Johor,Sekijang,"Address: Lot PTB 24076, Jalan Ibrahim Sultan, Jln Stulang Laut, 80300 Johor Bahru, Johor ",McDonald's Stulang Laut DT,3.5,,Operating
Johor,Sekijang,"Address: Lot 141190, Jalan Setia Tropika 1/21, Mukim Tebrau, Taman Setia Tropika, 81100 Johor Bahru, Johor ",McDonald's Setia Tropika DT,3.9,,Operating
Johor,Sekijang,"Address: Lot PT 61054, Batu 11, Jalan Pontian, Skudai, Malaysia, Johor, 81300 Johor ",McDonald's UTM Skudai DT,4.0,,Operating
Johor,Sekijang,"Address: 11, Jalan Nusa Sentral, Taman Nusa Sentral, 79100 Iskandar Puteri, Johor Darul Ta'zim ",McDonald's Nusa Sentral DT,2.6,,Operating
Johor,Sekijang,"Address: PK2-3, Plaza Angsana, Jalan Skudai, Pusat Bandar Tampoi, 81200 Johor Bahru, Johor ",McDonald's Ice Cream Kiosk,5.0,,Operating
Johor,Sekijang,"Address: No. 2, Jalan Jati, Taman Nusa Bestari Jaya, 81300 Johor Bahru, Johor ",McDonald's Petronas Taman Tan Sri Yaacob DT,3.6,,Operating
Johor,Sekijang,"Address: Jln Kampung Lalang, Educity, 79100 Iskandar Puteri, Johor Darul Ta'zim ",McDonald's Educity JB DT,3.8,,Operating
Johor,Sekijang,"Address: Lot, Petronas Petrol Station, 105615, Jalan Pesona, Taman Pelangi Indah, 81800 Johor Bahru, Johor ",McDonald’s Petronas Pelangi Indah DT,3.7,,Operating
Johor,Sekijang,"Address: Jalan Garuda, Larkin Jaya, 80350 Johor Bahru, Johor Darul Ta'zim ",McDonald's Larkin Terminal,2.4,,Operating
Johor,Sekijang,"Address: Lot PTD 209631, Jalan Pandan, 81100 Johor Bahru, Johor ",McDonald's Shell Jalan Pandan DT,3.9,,Operating
Johor,Sekijang,"Address: Lot 1.19, Plaza Pelangi, Jalan Kuning, Taman Pelangi, 80400 Johor Bahru, Johor ",McDonald's Plaza Pelangi,3.7,,Operating
Johor,Sekijang,"Address: Bandar Baru Uda, 81200 Johor Bahru, Johor ",McDonald's Bandar Baru UDA DT,4.0,,Operating
Johor,Sekijang,"Address: Lot No. PTD13309 & PTD52136, KM11, Skudai Hwy, Mukim Tebrau, 81200 Johor Bahru, Johor ",McDonald's Petronas Skudai DT,4.0,,Operating
Johor,Sekijang,"Address: Lot 13576, Taman Ungku Tun Aminah, 81300 Johor Bahru, Johor ",McDonald's Taman Ungku Tun Aminah DT,3.8,,Operating
Johor,Sekijang,"Address: Lot 13182, Jalan Delima, Mukim Bandar, Pontian Kechil, 82000 Pontian District, Johor ",McDonald's Pontian DT,3.9,,Operating
Johor,Sekijang,"Address: Lot PTD 11466, Jalan Masai Lama, Taman Perindustrian Plentong, 81750 Masai, Johor Darul Ta'zim ",McDonald's BHP Plentong DT,3.2,,Operating
Johor,Sekijang,"Address: Lot PTD 48029, Jalan Tan Swee Hoe, Taman Flora Utama, 83000 Batu Pahat, Johor ",McDonald's Batu Pahat DT,3.8,,Operating
Johor,Sekijang,"Address: Lot PTD 110501, Jalan Nipah 2, Taman Daya Mukim, 81100 Johor Bahru, Johor ",McDonald's Taman Daya DT,3.8,,Operating
Johor,Sekijang,"Address: Lot PTD 174172, Jalan Seri Alam, Bandar Baru Seri Alam, 81750 Masai, Johor ",McDonald's Seri Alam Masai DT,3.9,,Operating
