Store,State,Area,Count,Duration
Burger King, Johor," Segamat, Johor",1,24.32
Burger King, Johor," Sekijang, Johor",27,108.32
Burger King, Johor," Labis, Johor",35,139.74
Burger King, Johor," Pagoh, Johor",30,121.16
Burger King, Johor," Ledang, Johor",27,99.27
Burger King, Johor," Bakri, Johor",26,102.67
Burger King, Johor," Muar, Johor",3,29.04
Burger King, Johor," Parit Sulong, Johor",27,103.82
Burger King, Johor," Ayer Hitam, Johor",28,105.45
Burger King, Johor," Sri Gading, Johor",24,91.52
Burger King, Johor," Batu Pahat, Johor",1,22.75
Burger King, Johor," Simpang Renggam, Johor",28,107.26
Burger King, Johor," Kluang, Johor",1,22.64
Burger King, Johor," Sembrong, Johor",21,80.8
Burger King, Johor," Mersing, Johor",31,119.12
Burger King, Johor," Tenggara, Johor",28,113.99
Burger King, Johor," Kota Tinggi, Johor",1,23.03
Burger King, Johor," Pengerang, Johor",26,101.99
Burger King, Johor," Tebrau, Johor",2,30.08
Burger King, Johor," Pasir Gudang, Johor",2,27.65
Burger King, Johor," Johor Bahru, Johor",28,108.59
Burger King, Johor," Pulai, Johor",26,101.44
Burger King, Johor," Iskandar Puteri, Johor",2,27.65
Burger King, Johor," Kulai, Johor",3,29.87
Burger King, Johor," Pontian, Johor",3,29.65
Burger King, Johor," Tanjung Piai, Johor",26,97.99
Burger King, Kedah," Langkawi, Kedah",1,22.68
Burger King, Kedah," Jerlun, Kedah",3,29.99
Burger King, Kedah," Kubang Pasu, Kedah",1,22.55
Burger King, Kedah," Padang Terap, Kedah",5,33.14
Burger King, Kedah," Pokok Sena, Kedah",8,43.65
Burger King, Kedah," Alor Setar, Kedah",3,30.77
Burger King, Kedah," Kuala Kedah, Kedah",10,44.76
Burger King, Kedah," Pendang, Kedah",10,45.46
Burger King, Kedah," Jerai, Kedah",5,33.43
Burger King, Kedah," Sik, Kedah",7,37.57
Burger King, Kedah," Merbok, Kedah",5,34.04
Burger King, Kedah," Sungai Petani, Kedah",3,28.8
Burger King, Kedah," Baling, Kedah",15,62.2
Burger King, Kedah," Padang Serai, Kedah",16,61.63
Burger King, Kedah," Kulim-Bandar Baharu, Kedah",1,22.7
Burger King, Kelantan," Tumpat, Kelantan",13,57.48
Burger King, Kelantan," Pengkalan Chepa, Kelantan",12,53.62
Burger King, Kelantan," Kota Bharu, Kelantan",20,80.1
Burger King, Kelantan," Pasir Mas, Kelantan",3,30.2
Burger King, Kelantan," Rantau Panjang, Kelantan",4,33.08
Burger King, Kelantan," Kubang Kerian, Kelantan",10,47.88
Burger King, Kelantan," Bachok, Kelantan",6,36.31
Burger King, Kelantan," Ketereh, Kelantan",9,44.75
Burger King, Kelantan," Tanah Merah, Kelantan",9,45.02
Burger King, Kelantan," Pasir Puteh, Kelantan",13,56.13
Burger King, Kelantan," Machang, Kelantan",2,26.84
Burger King, Kelantan," Jeli, Kelantan",8,41.24
Burger King, Kelantan," Kuala Krai, Kelantan",10,46.23
Burger King, Kelantan," Gua Musang, Kelantan",11,52.1
Burger King, Melaka," Masjid Tanah, Melaka",6,38.02
Burger King, Melaka," Alor Gajah, Melaka",4,34.52
Burger King, Melaka," Tangga Batu, Melaka",4,32.69
Burger King, Melaka," Hang Tuah Jaya, Melaka",5,35.62
Burger King, Melaka," Kota Melaka, Melaka",4,34.21
Burger King, Melaka," Jasin, Melaka",6,39.93
Burger King, Negeri Sembilan," Jelebu, Negeri Sembilan",13,57.73
Burger King, Negeri Sembilan," Jempol, Negeri Sembilan",9,45.6
Burger King, Negeri Sembilan," Seremban, Negeri Sembilan",3,31.01
Burger King, Negeri Sembilan," Kuala Pilah, Negeri Sembilan",10,48.02
Burger King, Negeri Sembilan," Rasah, Negeri Sembilan",5,35.27
Burger King, Negeri Sembilan," Rembau, Negeri Sembilan",31,124.69
Burger King, Negeri Sembilan," Port Dickson, Negeri Sembilan",1,23.82
Burger King, Negeri Sembilan," Tampin, Negeri Sembilan",44,180.87
Burger King, Pahang," Cameron Highlands, Pahang",1,22.8
Burger King, Pahang," Lipis, Pahang",6,38.67
Burger King, Pahang," Raub, Pahang",1,22.66
Burger King, Pahang," Jerantut, Pahang",9,45.75
Burger King, Pahang," Indera Mahkota, Pahang",1,23.38
Burger King, Pahang," Kuantan, Pahang",2,28.31
Burger King, Pahang," Paya Besar, Pahang",2,27.95
Burger King, Pahang," Pekan, Pahang",11,52.51
Burger King, Pahang," Maran, Pahang",6,37.04
Burger King, Pahang," Kuala Krau, Pahang",2,28.06
Burger King, Pahang," Temerloh, Pahang",11,49.86
Burger King, Pahang," Bentong, Pahang",1,22.55
Burger King, Pahang," Bera, Pahang",16,68.13
Burger King, Pahang," Rompin, Pahang",14,62.5
Burger King, Perak," Gerik, Perak",2,27.92
Burger King, Perak," Lenggong, Perak",2,27.43
Burger King, Perak," Larut, Perak",2,27.59
Burger King, Perak," Parit Buntar, Perak",4,32.08
Burger King, Perak," Bagan Serai, Perak",11,49.57
Burger King, Perak," Bukit Gantang, Perak",2,28.02
Burger King, Perak," Taiping, Perak",1,22.32
Burger King, Perak," Padang Rengas, Perak",15,59.21
Burger King, Perak," Sungai Siput, Perak",17,66.35
Burger King, Perak," Tambun, Perak",5,34.77
Burger King, Perak," Ipoh Timor, Perak",3,29.9
Burger King, Perak," Ipoh Barat, Perak",5,34.66
Burger King, Perak," Batu Gajah, Perak",3,30.33
Burger King, Perak," Kuala Kangsar, Perak",30,126.79
Burger King, Perak," Beruas, Perak",5,49.87
Burger King, Perak," Parit, Perak",2,27.81
Burger King, Perak," Kampar, Perak",4,32.82
Burger King, Perak," Gopeng, Perak",4,30.89
Burger King, Perak," Tapah, Perak",1,22.56
Burger King, Perak," Pasir Salak, Perak",11,49.37
Burger King, Perak," Lumut, Perak",3,29.39
Burger King, Perak," Bagan Datuk, Perak",2,27.37
Burger King, Perak," Teluk Intan, Perak",4,32.18
Burger King, Perak," Tanjong Malim, Perak",2,33.71
Burger King, Perlis," Padang Besar, Perlis",5,34.81
Burger King, Perlis," Kangar, Perlis",3,29.37
Burger King, Perlis," Arau, Perlis",8,43.92
Burger King, Pulau Pinang," Kepala Batas, Pulau Pinang",21,82.76
Burger King, Pulau Pinang," Tasek Gelugor, Pulau Pinang",17,65.52
Burger King, Pulau Pinang," Bagan, Pulau Pinang",16,63.62
Burger King, Pulau Pinang," Permatang Pauh, Pulau Pinang",21,82.17
Burger King, Pulau Pinang," Bukit Mertajam, Pulau Pinang",4,33.39
Burger King, Pulau Pinang," Batu Kawan, Pulau Pinang",5,35.16
Burger King, Pulau Pinang," Nibong Tebal, Pulau Pinang",1,22.38
Burger King, Pulau Pinang," Bukit Bendera, Pulau Pinang",15,61.67
Burger King, Pulau Pinang," Tanjong, Pulau Pinang",11,50.19
Burger King, Pulau Pinang," Jelutong, Pulau Pinang",17,72.9
Burger King, Pulau Pinang," Bukit Gelugor, Pulau Pinang",13,61.76
Burger King, Pulau Pinang," Bayan Baru, Pulau Pinang",11,59.0
Burger King, Pulau Pinang," Balik Pulau, Pulau Pinang",21,80.1
Burger King, Sabah," Kudat, Sabah",14,56.72
Burger King, Sabah," Kota Marudu, Sabah",17,64.76
Burger King, Sabah," Kota Belud, Sabah",24,109.97
Burger King, Sabah," Tuaran, Sabah",2,35.79
Burger King, Sabah," Sepanggar, Sabah",15,58.11
Burger King, Sabah," Kota Kinabalu, Sabah",14,63.61
Burger King, Sabah," Putatan, Sabah",1,28.75
Burger King, Sabah," Penampang, Sabah",2,40.87
Burger King, Sabah," Papar, Sabah",2,29.05
Burger King, Sabah," Kimanis, Sabah",13,68.12
Burger King, Sabah," Beaufort, Sabah",17,63.82
Burger King, Sabah," Sipitang, Sabah",11,48.86
Burger King, Sabah," Ranau, Sabah",15,60.87
Burger King, Sabah," Keningau, Sabah",17,66.4
Burger King, Sabah," Tenom, Sabah",11,48.67
Burger King, Sabah," Pensiangan, Sabah",13,53.81
Burger King, Sabah," Beluran, Sabah",12,54.43
Burger King, Sabah," Libaran, Sabah",1,31.24
Burger King, Sabah," Batu Sapi, Sabah",8,40.71
Burger King, Sabah," Sandakan, Sabah",18,71.32
Burger King, Sabah," Kinabatangan, Sabah",14,58.28
Burger King, Sabah," Lahad Datu, Sabah",16,73.8
Burger King, Sabah," Semporna, Sabah",14,71.81
Burger King, Sabah," Tawau, Sabah",10,46.42
Burger King, Sabah," Kalabakan, Sabah",14,55.42
Burger King, Sarawak," Mas Gading, Sarawak",3,31.45
Burger King, Sarawak," Santubong, Sarawak",4,33.29
Burger King, Sarawak," Petra Jaya, Sarawak",8,44.61
Burger King, Sarawak," Bandar Kuching, Sarawak",4,34.44
Burger King, Sarawak," Stampin, Sarawak",4,32.85
Burger King, Sarawak," Kota Samarahan, Sarawak",1,22.74
Burger King, Sarawak," Puncak Borneo, Sarawak",4,32.05
Burger King, Sarawak," Serian, Sarawak",7,39.51
Burger King, Sarawak," Batang Sadong, Sarawak",4,33.36
Burger King, Sarawak," Batang Lupar, Sarawak",4,33.14
Burger King, Sarawak," Sri Aman, Sarawak",12,51.46
Burger King, Sarawak," Lubok Antu, Sarawak",4,33.34
Burger King, Sarawak," Betong, Sarawak",7,39.13
Burger King, Sarawak," Saratok, Sarawak",6,36.51
Burger King, Sarawak," Tanjong Manis, Sarawak",6,37.3
Burger King, Sarawak," Igan, Sarawak",4,56.71
Burger King, Sarawak," Sarikei, Sarawak",14,57.61
Burger King, Sarawak," Julau, Sarawak",3,30.43
Burger King, Sarawak," Kanowit, Sarawak",3,30.15
Burger King, Sarawak," Lanang, Sarawak",5,34.27
Burger King, Sarawak," Sibu, Sarawak",2,27.86
Burger King, Sarawak," Mukah, Sarawak",9,44.27
Burger King, Sarawak," Selangau, Sarawak",4,33.25
Burger King, Sarawak," Kapit, Sarawak",5,33.56
Burger King, Sarawak," Hulu Rajang, Sarawak",1,22.88
Burger King, Sarawak," Bintulu, Sarawak",11,52.11
Burger King, Sarawak," Sibuti, Sarawak",5,33.63
Burger King, Sarawak," Miri, Sarawak",1,22.63
Burger King, Sarawak," Baram, Sarawak",5,33.78
Burger King, Sarawak," Limbang, Sarawak",11,51.91
