State,Area,Address,Store Name,Rating,Review Count,Store Status
Johor,Segamat,"Address: 3, Jalan Ros, Kampung Abdullah, 85000 Segamat, Johor Darul Ta'zim ",Burger King Segamat,3.6,(106),Operating
Johor,Sekijang,"Address: No.53, Jalan Kluang Perdana l, Taman Kluang Perdana, 86000 Kluang, Johor ",Burger King Kluang Perdana,3.9,(195),Operating
Johor,Sekijang,"Address: Caltex R&R, Jalan R&R Skudai, Senai, 81400 Johor Bahru, Johor ",Burger King Caltex R&R Skudai,4.3,(96),Operating
Johor,Sekijang,"Address: Lot FF17- FF18, First Floor, Passenger Terminal Building Senai International Airport, 81250, Johor Darul Ta'zim ",Burger King Senai Airport,3.7,(111),Operating
Johor,Sekijang,"Address: 81200, JB Bound, Lot 49987 Mukim Senai, Pontian - Skudai Hwy, 81300 Johor Bahru, Johor ",Burger King Pontian-Skudai Highway,4.1,"(1,555)",Operating
Johor,Sekijang,"Address: Lot G56 (Ground Floor), Aeon Mall Kulaijaya PTD 106273, Persiaran Indahpura Utama, Bandar Indahpura, 81000 Kulai, Johor Darul Ta'zim ",Burger King Aeon Kulaijaya,3.9,(164),Operating
Johor,Sekijang,"Address: Jalan Kota Masai 2, Taman Kota Masai, 81700 Pasir Gudang, Johor Darul Ta'zim ",Burger King Kota Masai,4.6,(67),Operating
Johor,Sekijang,"Address: Premium Outlets, Stall Nos. 15, 16, 17 & Store No. 4, Johor Premium Outlets, Jalan, Indahpura, 81000 Kulai, Johor Darul Ta'zim ",Burger King,4.1,(446),Operating
Johor,Sekijang,"Address: Plot 10 Kawasan R&R Plus, Skudai Arah Utara, 83100 Johor Bahru, Johor ",Burger King R&R Skudai,4.0,(670),Operating
Johor,Sekijang,"Address: No. 5 & 6 (Ground Floor, First Floor & Second Floor) Lorong Abadi, Jalan Teo Kang Sui, Pusat Perniagaan Juta, Pontian District, Johor ",Burger King Juta Pontian,4.2,(67),Operating
Johor,Sekijang,"Address: M1-06, Level 1, Johor Bahru City Square, 106, 1, Bandar Johor Bahru, 80000 Johor Bahru, Johor ",Burger King JB City Square,3.2,(171),Operating
Johor,Sekijang,"Address: 3, Jalan Ros, Kampung Abdullah, 85000 Segamat, Johor Darul Ta'zim ",Burger King Segamat,3.6,(106),Operating
Johor,Sekijang,"Address: Paradigm Mall, 4F-33, Jalan Mewah Ria 4/1, Taman Bukit Mewah, 81200 Johor Bahru, Johor ",Burger King @ Paradigm Mall JB,4.0,(71),Operating
Johor,Sekijang,"Address: Lot G-21, Ground Floor, The Commune Mall, Pusat Komersial Indah, 291, Jalan Kiambang 10, Bandar Indahpura, 81000 Kulai, Johor Darul Ta'zim ",Burger King,4.1,(25),Operating
Johor,Sekijang,"Address: PT 2308, HS(D) 2991, Jalan Bukit Pasir, Bandar Penggaram, Batu Pahat, Johor Darul Takzim, 83000 Batu Pahat, Johor ",Burger King Batu Pahat,4.0,"(1,250)",Operating
