Store,State,Area,Count,Duration
KFC,Johor,Segamat,3,35.26
KFC,Johor,Sekijang,22,85.71
KFC,Johor,Labis,1,27.77
KFC,Johor,Pagoh,2,28.81
KFC,Johor,Ledang,1,26.38
KFC,Johor,Bakri,6,38.29
KFC,Johor,Muar,8,47.37
KFC,Johor,Parit Sulong,1,27.36
KFC,Johor,Ayer Hitam,1,26.87
KFC,Johor,Sri Gading,6,39.1
KFC,Johor,Batu Pahat,6,37.98
KFC,Johor,Simpang Renggam,1,26.22
KFC,Johor,Kluang,7,44.71
KFC,Johor,Sembrong,21,91.25
KFC,Johor,Mersing,3,30.67
KFC,Johor,Tenggara,1,26.16
KFC,Johor,Kota Tinggi,3,30.7
KFC,Johor,Pengerang,11,48.6
KFC,Johor,Tebrau,6,37.42
KFC,Johor,Pasir Gudang,5,36.66
KFC,Johor,Johor Bahru,43,164.99
KFC,Johor,Pulai,12,52.29
KFC,Johor,Iskandar Puteri,6,38.36
KFC,Johor,Kulai,7,40.13
KFC,Johor,Pontian,3,30.97
KFC,Johor,Tanjung Piai,8,41.67
KFC,Kedah,Langkawi,6,47.63
KFC,Kedah,Jerlun,1,27.78
KFC,Kedah,Kubang Pasu,6,37.77
KFC,Kedah,Padang Terap,8,42.73
KFC,Kedah,Pokok Sena,1,26.87
KFC,Kedah,Alor Setar,13,64.42
KFC,Kedah,Kuala Kedah,1,26.19
KFC,Kedah,Pendang,2,31.2
KFC,Kedah,Jerai,19,90.29
KFC,Kedah,Sik,1,27.95
KFC,Kedah,Merbok,8,43.5
KFC,Kedah,Sungai Petani,11,51.95
KFC,Kedah,Baling,1,26.49
KFC,Kedah,Padang Serai,1,26.42
KFC,Kedah,Kulim-Bandar Baharu,6,42.48
KFC,Kelantan,Tumpat,1,32.19
KFC,Kelantan,Pengkalan Chepa,11,59.97
KFC,Kelantan,Kota Bharu,10,51.13
KFC,Kelantan,Pasir Mas,1,26.57
KFC,Kelantan,Rantau Panjang,2,31.98
KFC,Kelantan,Kubang Kerian,1,27.86
KFC,Kelantan,Bachok,2,32.4
