State,Area,Address,Store Name,Rating,Review Count,Store Status
Johor,Segamat,"Address: No. 45, Ground Floor, One Segamat, Jln Kolam Air, Kampung Gubah, 85000 Segamat, Johor Darul Ta'zim ",KFC One Segamat,3.8,(154),Operating
Johor,Segamat,"Address: Lot 2690, Lbh Persiaran Tun Khalil Yaakob, Kampung Rasau, 85000 Segamat, Johor Darul Ta'zim ",KFC Segamat DT,3.9,(876),Operating
Johor,Segamat,"Address: 150 & 151, Jalan Sia Her Yam, Kampung Abdullah, 85000 Segamat, Johor Darul Ta'zim ",KFC Segamat,4.0,"(1,022)",Operating
Johor,Sekijang,"Address: PTB 23183, Mukim, Jalan Sungai Chat, Sri Gelam, 80100 Johor Bahru, Johor ",KFC Seri Gelam DT,3.9,"(1,922)",Operating
Johor,Sekijang,"Address: Lot Zone C01, 03A Sultan Ibrahim Stadium, Jln Gelang Patah, 79100 Iskandar, Johor ",KFC STADIUM JDT,4.6,(195),No status
Johor,Sekijang,"Address: 96, Jalan Dedap 4, Taman Johor Jaya, 81100 Johor Bahru, Johor Darul Ta'zim ",KFC Johor Jaya,3.4,(431),Operating
Johor,Sekijang,"Address: Sebahagian PTB 23174, Jalan Ibrahim Sultan, Mukim Bandar, 80300 Johor Bahru, Johor ",KFC Stulang Laut,4.1,"(3,214)",Operating
Johor,Sekijang,"Address: Lot 2690, Lbh Persiaran Tun Khalil Yaakob, Kampung Rasau, 85000 Segamat, Johor Darul Ta'zim ",KFC Segamat DT,3.9,(876),Operating
Johor,Sekijang,"Address: 150 & 151, Jalan Sia Her Yam, Kampung Abdullah, 85000 Segamat, Johor Darul Ta'zim ",KFC Segamat,4.0,"(1,022)",Operating
Johor,Sekijang,"Address: Lot PTD 113519, Taman Puteri Wangsa, 81800 Johor Bahru, Johor ",KFC Puteri Wangsa DT,4.0,"(1,524)",Operating
Johor,Sekijang,"Address: Jb Sentral, Lot 3 & 7 Main, 80000 Johor Bharu, Johor ",KFC JB Sentral,2.5,(267),Operating
Johor,Sekijang,"Address: PTD 210469, Bandar Seri Alam, 81700 Johor Bahru, Johor ",KFC Seri Alam DT,3.7,"(1,384)",Operating
Johor,Sekijang,"Address: 5, Persiaran Jaya 1, Mutiara Rini, 81000 Skudai, Johor Darul Ta'zim ",KFC Mutiara Rini DT,3.7,"(1,703)",Operating
Johor,Sekijang,"Address: No. 45, Ground Floor, One Segamat, Jln Kolam Air, Kampung Gubah, 85000 Segamat, Johor Darul Ta'zim ",KFC One Segamat,3.8,(154),Operating
Johor,Sekijang,"Address: Lot 126, Jln Segamat, Taman Bintang Jaya, 85300 Labis, Johor Darul Ta'zim ",KFC Labis,3.9,(573),Operating
Johor,Sekijang,"Address: Plaza Angsana, Lot L1.28a & L1.29, Skudai Hwy, Pusat Bandar Tampoi, 81200 Johor Bahru, Johor ",KFC Plaza Angsana,4.3,(348),Operating
Johor,Sekijang,"Address: 39-G & 39-1, Jalan Muar, Kampung Bahru, 85200 Jementah, Johor Darul Ta'zim ",KFC Jementah,3.9,(335),No status
Johor,Sekijang,"Address: Lot J22 - J23 Level 3, City Square, Jalan Wong Ah Fook, Bandar Johor Bahru, 80300 Johor Bahru, Johor ",KFC City Square,2.4,(328),Operating
Johor,Sekijang,"Address: 213D & 213E, Jalan Payamas, Kampung Padang Lalang, 89000 Tangkak, Johor Darul Ta'zim ",KFC Tangkak,3.9,(822),Operating
Johor,Sekijang,"Address: 4, Jln Gambir 5, Bandar Baru Bukit Gambar, 84800 Muar, Johor Darul Ta'zim ",KFC Bukit Gambir,4.1,(658),Operating
Johor,Sekijang,"Address: No. 1, 1A, 1B, Jalan Persiaran Cempaka, Taman Bunga Cempaka Biru, 86400 Parit Raja, Johor ",KFC Parit Raja,4.0,(918),No status
Johor,Sekijang,"Address: No. 98, Jalan Segamat, 85300, Johor, 85300 ","KFC @ Labis, Johor",,,No status
Johor,Labis,"Address: Lot 126, Jln Segamat, Taman Bintang Jaya, 85300 Labis, Johor Darul Ta'zim ",KFC Labis,3.9,(573),Operating
Johor,Pagoh,"Address: Kawasan Rehat Dan Rawat Pagoh Aras Selatan, KM 135.5, North-South Expy, 84600 Muar, Johor ",KFC RSA Pagoh,4.0,(741),Operating
Johor,Pagoh,"Address: No. PTD 17338 HS(D) 40911 Bandar Universiti Pagoh, 84500 Bukit Pasir, Johor Darul Ta'zim ",KFC Bandar Universiti Pagoh DT,4.1,(311),Operating
Johor,Ledang,"Address: 213D & 213E, Jalan Payamas, Kampung Padang Lalang, 89000 Tangkak, Johor Darul Ta'zim ",KFC Tangkak,3.9,(822),Operating
Johor,Bakri,"Address: Ground, First & Second Floor, No. 23-1, Jalan Arab, Pekan Muar, 84000 Muar, Johor ",KFC Muar 1,3.8,(627),Operating
Johor,Bakri,"Address: Ground & First Floors, Plaza LLY, Jln Salleh, Taman Sri Emas, 84000 Muar, Johor ",KFC Muar 2,3.9,(836),Operating
Johor,Bakri,"Address: 3 Jalan Perdagangan Pekan Bukit Pasir, 83000 Muar, Johor ",KFC Pekan Bukit Pasir Muar,4.0,(710),Operating
Johor,Bakri,"Address: Lot No. 3153, Nafas Mall, Jalan Kesang, 84000 Muar, Johor ",KFC K Mart Muar,4.1,(472),No status
Johor,Bakri,"Address: LOT G26 & G27, GIANT HYPERMARKET MUAR, Jalan Kesang, Kawasan Perindustrian Tanjung Agas, 84000 Muar, Johor ",KFC NSK Muar,3.6,(253),Operating
Johor,Bakri,"Address: No. PTD 17338 HS(D) 40911 Bandar Universiti Pagoh, 84500 Bukit Pasir, Johor Darul Ta'zim ",KFC Bandar Universiti Pagoh DT,4.1,(311),Operating
